kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location
etf,sh512760,512760,芯片ETF,1.043,-0.48,1.052,1.061,1.037,1.048,22091.0,20260909155111,0.25
etf,sh512480,512480,半导体ETF,0.983,-0.51,0.994,1.002,0.977,0.988,90203.0,20260909155111,0.24
etf,sh588200,588200,科创芯片ETF,1.114,-0.62,1.129,1.138,1.107,1.121,170725.0,20260909155102,0.2258064516129076
etf,sh515880,515880,通信ETF,0.677,0.89,0.685,0.692,0.671,0.671,288252.0,20260909155104,0.2857142857142872
etf,sh515980,515980,人工智能ETF,1.01,-0.69,1.025,1.031,1.003,1.017,12785.0,20260909155108,0.25000000000000394
etf,sh516820,516820,机器人ETF,0.345,-1.43,0.348,0.349,0.343,0.35,2661.0,20260909155107,0.33333333333332715
etf,sh512170,512170,医疗ETF,0.337,-1.17,0.34,0.34,0.335,0.341,30512.0,20260909155112,0.4
etf,sh512880,512880,证券ETF,1.085,0.0,1.084,1.086,1.078,1.085,126994.0,20260909155102,0.8749999999999861
etf,sh512690,512690,酒ETF,0.426,-1.39,0.431,0.431,0.425,0.432,43909.0,20260909155103,0.16666666666666666
etf,sh515030,515030,新能源车ETF,1.542,0.0,1.534,1.545,1.526,1.542,11564.0,20260909155110,0.8421052631578997
etf,sh515790,515790,光伏ETF,0.817,-0.24,0.82,0.823,0.812,0.819,7879.0,20260909155103,0.45454545454544903
etf,sh516510,516510,云计算ETF,1.632,-1.15,1.651,1.657,1.621,1.651,7403.0,20260909155110,0.30555555555555247
etf,sh515400,515400,大数据ETF,0.838,-1.06,0.849,0.849,0.831,0.847,6707.0,20260909155123,0.3888888888888889
etf,sh512400,512400,有色金属ETF,1.853,1.76,1.829,1.856,1.82,1.821,85295.0,20260909155101,0.9166666666666636
etf,sh515220,515220,煤炭ETF,1.341,3.0,1.297,1.347,1.29,1.302,77616.0,20260909155115,0.8947368421052629
etf,sh510300,510300,沪深300ETF,4.637,0.28,4.638,4.648,4.613,4.624,265672.0,20260909155122,0.6857142857142756
etf,sh518880,518880,黄金ETF,9.041,-0.07,8.97,9.052,8.97,9.047,404297.0,20260909155130,0.865853658536593
etf,sh510880,510880,红利ETF,3.498,1.51,3.446,3.501,3.43,3.446,39663.0,20260909155116,0.9577464788732439
etf,sh512660,512660,军工ETF,1.18,1.55,1.161,1.189,1.159,1.162,54922.0,20260909155121,0.6999999999999963
